location,text,hashtags,tweetcreatedts
Chicago,"Joe Biden should NOT step on a debate stage with the Commander in Covid unless trump takes a real COVID-19 test right in front of his team and tests negative.

trump CANNOT be trusted.",[],2020-10-16 21:12:45
"Chicago, IL","“The numbers are really unbelievable. We’ve never seen numbers quite this high. Our hospitals are at near capacity,” says Green Bay, Wisconsin, infectious disease physician Dr. Agnes Kresch as the state sees a surge in Covid-19 cases. https://t.co/pwVZsC6s5n https://t.co/4QHQkJeuSV",[],2020-10-16 21:12:44
"Chicago, IL","Eagles place Pryor on Reserve/COVID-19 list, but he hasn't tested positive

https://t.co/zgN7poggAP https://t.co/OVwPaKP7be",[],2020-10-16 21:12:32
"New York, USA","@BklynDin @MattFinnFNC @realDonaldTrump ""The COVID-19 Blues 🎶🦠 dedicated to all those Americans that did not believe in me.""😭#ScienceKnows #VoteBlueToEndThisNightmare #TruthOverLies #BidenCalm #TakeBackAmerica 🇺🇸
#BelieveInJoeandKamala #VoteforHer https://t.co/k1kmZ4S5KJ",[],2020-10-16 21:12:23
"New York, NY",‼️GOOD NEWS: The Trump Administration has partnered with @cvs &amp; @walgreens to deliver &amp; administer the COVID-19 vaccine to nursing homes for FREE thanks to Operation Warp Speed‼️🇺🇸,[],2020-10-16 21:12:18
"Chicago, IL","Joe Biden should NOT step on a debate stage with the Commander in Covid unless trump takes a real COVID-19 test right in front of his team and tests negative.

trump CANNOT be trusted.",[],2020-10-16 21:12:08
"brooklyn,New york",8 million confirmed cases of COVID-19 in the U.S.A!!!! We are leading the world in this shit.... it is really heartbreaking,[],2020-10-16 21:11:43
"Chicago, IL","Are we nearing a COVID-19 breaking point?

https://t.co/vWdlYbdu8z https://t.co/Bs7NhYNXn7",[],2020-10-16 21:11:34
Los Angeles,"Commissioner Jan Malcolm of @mnhealth says ""eye popping"" 2,297 new COVID-19 cases reported today are from ""steady inexorable spread"" across MN by asymptomatic transmission.",[],2020-10-16 21:11:33
"Chicago, IL","Guess what? We're STILL hiring - two new jobs went up this week. Take a look and apply today! 
 
Dev Ops Engineer: https://t.co/SPKp7U04WQ

Live Ops Manager: https://t.co/BkfjHo7HIV

Avail in Chicago or Orlando, though remote WFH through the rest of the year due to COVID-19. https://t.co/Awan56KPRL",[],2020-10-16 21:11:31
"Chicago, IL","Report: Pats place Ferentz on COVID-19/reserve list

https://t.co/dhUbpIjyix https://t.co/evpCkD2yBG",[],2020-10-16 21:11:26
New York,"Four months ago today I lost my dad to COVID-19 complications.

There are over 200,000 families out there with anniversaries. 

It could have been prevented. https://t.co/YOWlgin74U",[],2020-10-16 21:11:23
"Chicago, IL","Coming up on #tytlive: @SenateMajLdr McConnell shoots down $1.8 trillion #coronavirus deal, breaking with @realDonaldTrump https://t.co/4nyLh2grzA","[{'text': 'tytlive', 'indices': [32, 40]}, {'text': 'coronavirus', 'indices': [92, 104]}]",2020-10-16 21:11:22
New York,"Pfizer says people might start getting COVID-19 vaccines before the end of the year, according to a timeline it laid out today. 
https://t.co/YeFP9ytqDB",[],2020-10-16 21:11:18
"Miami, FL","ICYMI: Yesterday @DebbieforFL , @JoseJavierJJR, @ElectJavier, and @wendi_walsh blasted Trump’s ineffective leadership during the COVID-19 outbreak. The DNC launched a floating billboard ad with the multilingual message “Trump Lied, 215,000+ Died” as the Trump boat parade passed. https://t.co/GUD1JzyG0w",[],2020-10-16 21:11:17
"New York, USA","US Suffers 8,272,812 Coronavirus Cases As Trump Ignores The Virus.

#Trump, who does not wear a mask, does not have a national plan, says the US is ""turning the corner"" as the virus surges throughout the US.

#WearAMask #COVID__19 #coronavirus #TrumpVirus #Jewish #ShabbatShalom https://t.co/9mOKrOAShO","[{'text': 'Trump', 'indices': [68, 74]}, {'text': 'WearAMask', 'indices': [209, 219]}, {'text': 'COVID__19', 'indices': [220, 230]}, {'text': 'coronavirus', 'indices': [231, 243]}, {'text': 'TrumpVirus', 'indices': [244, 255]}, {'text': 'Jewish', 'indices': [256, 263]}, {'text': 'ShabbatShalom', 'indices': [264, 278]}]",2020-10-16 21:11:16
"Miami, FL","Ask yourself why @JoeBiden won’t blame China for Covid 19 - when even 17 US intelligence agencies confirmed it?! 

Corruption.",[],2020-10-16 21:11:09
San Francisco Bay Area,"Ventilation is a critical part in lowering COVID-19 risk.

Like our partner @Caltrain, BART is working continuously to improve in-train ventilation. BART trains replace air about every 70 seconds and filter air. We’re piloting stronger air filters and UV rods to kill aerosols. https://t.co/u4ridBrazZ",[],2020-10-16 21:11:00
"Miami, Florida","#barbells, #dumbbells, #kettlebells, #cables @clubXmiami

transforming lives daily, #clubX is a limited membership, private fitness club capped at just 750 members

#gym #fitnessclub #coralgables #boutiquefitness #sweatlocal #liftlocal #clean #safe #nocrowds #nevercrowded #health https://t.co/sxzI4L6LZr","[{'text': 'barbells', 'indices': [16, 25]}, {'text': 'dumbbells', 'indices': [27, 37]}, {'text': 'kettlebells', 'indices': [39, 51]}, {'text': 'cables', 'indices': [53, 60]}, {'text': 'clubX', 'indices': [100, 106]}]",2020-10-16 21:10:56
New York,"Black people are getting killed disproportionately by police. 220k Americans are dead due to Covid-19. If you’re gonna preach pro-life, preach about those lives too :) https://t.co/G0fxRLBHS6",[],2020-10-16 21:10:53
New York City,"Due to the rise of COVID-19 cases in Belgium, a new curfew and restrictions have been put in place. People have been ordered to work from home if possible. https://t.co/iFLksKm3lJ",[],2020-10-16 21:10:49
"New York, NY","A Covid-19 testing site in Appleton, Wis., was damaged after a nearby station’s live truck crashed into the tent where tests were set to be administered.
 https://t.co/BZyBUB3nTx https://t.co/ixcvVlLSNV",[],2020-10-16 21:10:49
San Francisco,"@Hogshead3Au @SunetraGupta ""development of immunity thru natural infection is a common feature of many pathogens &amp; its reasonable to assume that Covid-19 does not have any tricks up its sleeve to prevent this from happening- would pose a serious problem for development of a vaccine if it did.",[],2020-10-16 21:10:43
"San Francisco, CA","Mayan data underscore heterogeneity of the Latinx community and highlight need for specific outreach. Data from broad coalition. #protectworkers @La_Clinica_ @TheUnityCouncil @SLHealthProject @LaFamilia1975 @7Gen1D @UCSF @UCSF_LCOE @KBibbinsDomingo  
 https://t.co/TQ4EDpXQpy",[],2020-10-16 21:10:25
Chicago,"CDC: Almost all children who died from COVID-19 were Hispanic or Black &lt;---- BLACK PEOPLE, Trump is NOT investing  $500 Billion in our communities. He is not cutting a check for $500 Billion. He is letting our children die from #COVID19.
https://t.co/uZEkNNLBVj",[],2020-10-16 21:10:22
"Los Angeles, CA",‼️GOOD NEWS: The Trump Administration has partnered with @cvs &amp; @walgreens to deliver &amp; administer the COVID-19 vaccine to nursing homes for FREE thanks to Operation Warp Speed‼️🇺🇸,[],2020-10-16 21:10:21
"Chicago, IL",Looks like I’ll be making masks from Silk now! La-de-da. Silk Offers Homemade Solution for COVID-19 Prevention – More Protection Than Cotton Face Masks https://t.co/Ui6cUShSNf,[],2020-10-16 21:10:11
Los Angeles,"congratulations to United States President Stupid J. Moron for bringing 15 cases of covid-19 all the way down to EIGHT MILLION. ace job there, you incompetent fuck",[],2020-10-16 21:10:10
"Miami, FL","Do you know what are the conditions of the #coronavirus  outbreak in the women’s ward of Tabriz?

To prevent the spread of the virus in the women’s ward, the sick inmates are separated by only a curtain from other prisoners.","[{'text': 'coronavirus', 'indices': [58, 70]}]",2020-10-16 21:10:02
"Miami, Florida","#barbells, #dumbbells, #kettlebells, #cables @clubXmiami

transforming lives daily, #clubX is a limited membership, private fitness club capped at just 750 members

#gym #fitnessclub #coralgables #boutiquefitness #sweatlocal #liftlocal #clean #safe #nocrowds #nevercrowded #health https://t.co/sxzI4L6LZr","[{'text': 'barbells', 'indices': [16, 25]}, {'text': 'dumbbells', 'indices': [27, 37]}, {'text': 'kettlebells', 'indices': [39, 51]}, {'text': 'cables', 'indices': [53, 60]}, {'text': 'clubX', 'indices': [100, 106]}]",2020-10-16 21:09:55
"New York, NY","@thehill Feels like some places are still in the first #COVID__19 peak
https://t.co/81U96LTM81","[{'text': 'COVID__19', 'indices': [55, 65]}]",2020-10-16 21:09:40
San Francisco,"The U.N. health agency says the world's largest randomized trial of COVID-19 treatments found “conclusive evidence” that remdesivir, a drug used to treat Pres. Trump when he fell ill, has little or no effect on severe cases. https://t.co/FPLD7rNUMy",[],2020-10-16 21:09:38
San Francisco,"New Zealand: 

Winston Peters — deputy PM of New Zealand addresses an American COVID-19 denier at a press conference.

“Sit down. Sorry sunshine, wrong place.” https://t.co/8MSsFgWVoL",[],2020-10-16 21:09:23
"San Francisco, California","ROBERT ""BOB"" BROTHERTON, 88, of Green, Ohio, died of COVID-19 on October 1. 

An Air Force veteran, he spent most of his career in the auto industry.

""Bob always enjoyed his birthday dinner of fried oysters and playing nickel dime poker with his family.""

https://t.co/9t0ZBmL28e",[],2020-10-16 21:09:19
Los Angeles CA/Cincinnati OH ,Got haircut @GreatClips Worst in #pandemic.She was stoic robot. Ruined by wknd. Ws it 7.99 deal or her bad day or  @GreatClipsCares  does nt care. Try @smart_cuts @SportsClipsTC or family owned salon. Atleast they offer personal attention&amp;care. #CustomerServiceWeek2020 #USAFacts https://t.co/nzgJsHsPv3,"[{'text': 'pandemic', 'indices': [33, 42]}, {'text': 'CustomerServiceWeek2020', 'indices': [249, 273]}, {'text': 'USAFacts', 'indices': [274, 283]}]",2020-10-16 21:09:17
"Los Angeles, CA","Y’all. 

‘CDC: Almost all children who died from COVID-19 were Hispanic or Black’ - Business Insider https://t.co/gKatQBY4mE",[],2020-10-16 21:09:15
"Los Angeles, CA",OFFICIAL: Hertha Berlin have confirmed Matteo Guendouzi has tested positive for COVID-19.,[],2020-10-16 21:08:59
"New York, NY",@sarahcpr How to lever. ✌🏼😷 #Vote 🗳 #WearAMask #WashYourHands #SocialDistance #SocialDistancing #TrumpTownHall #BidenTownHall https://t.co/RbMZmJjlg0,"[{'text': 'Vote', 'indices': [28, 33]}, {'text': 'WearAMask', 'indices': [36, 46]}, {'text': 'WashYourHands', 'indices': [47, 61]}, {'text': 'SocialDistance', 'indices': [62, 77]}, {'text': 'SocialDistancing', 'indices': [78, 95]}, {'text': 'TrumpTownHall', 'indices': [96, 110]}, {'text': 'BidenTownHall', 'indices': [111, 125]}]",2020-10-16 21:08:56
"Miami, FL","🟢Tehran's Modaress Sa'adat Abad Hosp is given all beds to fighting #coronavirus since Sep. During past 2 weeks beds and 130 ICU's are constantly full @WHOEMRO 
🟢220 medical staff have contracted #COVID19, 30 of whom are constantly on sick leave @WHO 
https://t.co/qHlQWCQ9uM https://t.co/WpQU9s54Xk","[{'text': 'coronavirus', 'indices': [87, 99]}]",2020-10-16 21:08:55
"San Francisco, California","RONNIE ""BRO"" BALDWIN, 63, of Chicago, died of COVID-19 on June 12. 

He was a bus operator and a carpenter by trade who ran his own maintenance business and trained many within the community to do handyman jobs. “He is terribly missed.”

Submitted by his step-daughter. https://t.co/mWeGa5p0Ld",[],2020-10-16 21:08:50
"Chicago, IL","BREAKING: The red wave of COVID-19 infections begun at the White House’s #RoseGardenMassacre is now spreading across the US. 

The most rapid spread is in the Red States.

Avoid contact with members of the MAGA cult &amp; vote for @JoeBiden to stop the virus. 
https://t.co/vpZeIqUOpV","[{'text': 'RoseGardenMassacre', 'indices': [94, 113]}]",2020-10-16 21:08:48
New York ,@ElieNYC Diane Feinstein’s husband made questionable stock sales right before COVID-19. Based on her inside info? https://t.co/rHn6F26PKV,[],2020-10-16 21:08:48
"Los Angeles, CA","Our numbers aren't getting worse, we just are just chasing a formula put forward by the State. Businesses are being punished because of a flawed tiered system. We've lost sight of our goal, our COVID-19 hospital capacity is 4%... https://t.co/ZrzNMpFEJ6",[],2020-10-16 21:08:44
New York City,"The @societyforepi Executive Board members call for the use of an evidence-based approach to saving lives and mitigating the impact of the #COVID19 pandemic. Read the statement here:

https://t.co/S7z0t9hcQe

@MarthaWerler @Magda_Cerda @ProfMattFox @epi_kerrykeyes @AZPollack",[],2020-10-16 21:08:43
"New York, NY",NEW online: Patients with #COVID19 have Higher Risk of Kidney Injury; Protein suPAR may be Culprit https://t.co/c9Koxhdfs9 #kidneydisease #health #patientcare via @RushMedical https://t.co/ShBDdChORU,"[{'text': 'COVID19', 'indices': [46, 54]}]",2020-10-16 21:08:38
"Los Angeles, CA",The Red Wave that Trump is talking about is the blood from all of the dead Americans who DIED from COVID-19 on Trump's Watch. #VoteBlue for @JoeBiden #FlipTheSenateBlue,"[{'text': 'VoteBlue', 'indices': [126, 135]}, {'text': 'FlipTheSenateBlue', 'indices': [150, 168]}]",2020-10-16 21:08:37
"San Francisco, CA","They're not even pretending anymore. The campaign used to put people wearing masks behind Trump (although many of them let the masks drop below their noses and then their mouths throughout the speech). Now, you see 4 masks total. #COVID__19 #DeathSantis https://t.co/q1valOpB3t",[],2020-10-16 21:08:35
"New York, New York",Only 15 percent of NYC's in-classroom students have consented to COVID-19 tests https://t.co/tfLnxa0Xmq https://t.co/puhab2l0Yv,[],2020-10-16 21:08:34
"New York, USA",GENESEE ORLEANS/Health Dept./COVID-19 Update/Student tests positive at BOCES Campus in Batavia https://t.co/c1nGQWEoyq,[],2020-10-16 21:08:28
Los Angeles,"The moderator of next week's presidential debate (the final debate) @kwelkernbc has released the topics she has chosen: 

Fighting COVID-19
American Families
Race in America
Climate Change
National Security
Leadership

The debate will take place next Thursday in Nashville",[],2020-10-16 21:08:21
"New York, USA","New Zealand: 

Winston Peters — deputy PM of New Zealand addresses an American COVID-19 denier at a press conference.

“Sit down. Sorry sunshine, wrong place.” https://t.co/8MSsFgWVoL",[],2020-10-16 21:08:13
"New York, NY","#Hunger and #Foodinsecurity are rising amid the worsening global #pandemic, while $1 trillion of food is wasted a year! We must do better to ensure no man, woman, or child goes hungry! https://t.co/hDNEoSc1Vi","[{'text': 'Hunger', 'indices': [0, 7]}, {'text': 'Foodinsecurity', 'indices': [12, 27]}, {'text': 'pandemic', 'indices': [65, 74]}]",2020-10-16 21:08:02
"Los Angeles, CA","Due to the rise of COVID-19 cases in Belgium, a new curfew and restrictions have been put in place. People have been ordered to work from home if possible. https://t.co/iFLksKm3lJ",[],2020-10-16 21:08:00
"San Francisco, CA","Your reminder, when it comes to COVID-19, @JoeBiden and @KamalaHarris believe in safety, transparency and honesty above all else.",[],2020-10-16 21:07:59
Chicago,"ICU nurse does not want more parades, fly-overs or signs honoring her work. She wants the U.S. government to release her husband from immigration detention and allow him to stay in the U.S. with their children. https://t.co/UNRZZcNZtV via @CBSNews",[],2020-10-16 21:07:59
"Miami, FL","Iran News in Brief – October 16, 2020

#Iran: #Coronavirus Death Toll in 458 Cities Exceeds 124,000

NCRI-US to Reveals Iran Regime’s New Nuclear Bomb-Making Facility

Security forces have once again shut the gates to the grave of iconic musician Shajarian
https://t.co/u26WeB4vXO","[{'text': 'Iran', 'indices': [56, 61]}, {'text': 'Coronavirus', 'indices': [63, 75]}]",2020-10-16 21:07:54
"Miami, FL","More than 124,800 people have died of the novel #coronavirus in 458 cities checkered across all of #Iran's 31 provinces, according to the Iranian opposition PMOI/MEK. https://t.co/eCIQzIG2jf","[{'text': 'coronavirus', 'indices': [66, 78]}, {'text': 'Iran', 'indices': [117, 122]}]",2020-10-16 21:07:46
"New York, NY","“This is not about how well the gym was run; this is about how COVID spreads. If you let people hang out together, without masks, sharing air, in the same space for a prolonged period of time … this was going to happen anyways.” https://t.co/DpziFFedLd via @thespec @sebibron",[],2020-10-16 21:07:43
Hella hot Miami,@realDonaldTrump Please take your viruses when you leave.#COVID__19 #TrumpIsALaughingStock,"[{'text': 'COVID__19', 'indices': [57, 67]}, {'text': 'TrumpIsALaughingStock', 'indices': [68, 90]}]",2020-10-16 21:07:42
Los Angeles,"“This is not about how well the gym was run; this is about how COVID spreads. If you let people hang out together, without masks, sharing air, in the same space for a prolonged period of time … this was going to happen anyways.” https://t.co/DpziFFedLd via @thespec @sebibron",[],2020-10-16 21:07:41
"Los Angeles, CA",US COVID-19 cases are climbing to a third peak https://t.co/evdx4fJv3d https://t.co/RPLKopBXsb,[],2020-10-16 21:07:37
Los Angeles ,@USCIS I will request what others have said. Please publish the guidelines for i539 and i765 premium processing. People are losing job. Don’t make this hard on families who are already suffering for covid-19 and long wait for greencard. Please don’t make us beg on our knees.,[],2020-10-16 21:07:35
Los Angeles,US COVID-19 cases are climbing to a third peak https://t.co/d9bP4vtD6I,[],2020-10-16 21:07:31
"Los Angeles, CA","A subsequent test of Nick Saban on Thursday showed that he is negative for COVID-19, according to a statement from Alabama's head athletic trainer.

The news comes 48 hours after Saban's initial positive test and opens up the possibility that Saban could return to coach Saturday. https://t.co/ziGp0X80Uf",[],2020-10-16 21:07:29
"New York, USA","congratulations to United States President Stupid J. Moron for bringing 15 cases of covid-19 all the way down to EIGHT MILLION. ace job there, you incompetent fuck",[],2020-10-16 21:07:27
"San Francisco, CA","Effective immediately, employees of CA businesses experiencing an outbreak of #COVID19 are entitled to workers' comp benefits. A separate law requires employers to provide employees with notice of potential exposure to COVID-19. #dentistsofcalifornia https://t.co/PrF7kAwBza","[{'text': 'COVID19', 'indices': [95, 103]}]",2020-10-16 21:07:26
"Miami, FL","Over 124,800 people have died of the novel #coronavirus in 458 cities checkered across all of #Iran’s 31 provinces, according to reports tallied by the Iranian opposition PMOI/MEK as of Friday afternoon local time, October 16.
https://t.co/vOUiNzU3Ko","[{'text': 'coronavirus', 'indices': [61, 73]}, {'text': 'Iran', 'indices': [112, 117]}]",2020-10-16 21:07:22
"Los Angeles, CA","The world's largest randomized trial of COVID-19 treatments found ""conclusive evidence"" that remdesivir, a drug used to treat U.S. President Donald Trump when he fell ill, has little or no effect on severe cases, the U.N. health agency said Friday. https://t.co/WvQrupIymM https://t.co/sMmRG4tv5w",[],2020-10-16 21:07:21
"Los Angeles, CA","""It's just going to be beautiful, I can't wait to do it""

Singer Niall Horan will play a one-off live streamed show to raise money for members of his road crew - who he says have been ""left behind"" by the Covid-19 pandemic

https://t.co/J05HmvQ0lB https://t.co/dhaQOsErV1",[],2020-10-16 21:07:15
"Miami, FL","Based on reports from inside #Iran, 119 prisoners in Gohardasht prison in the city of Karaj, west of Tehran have contracted #coronavirus according to the prison's medical staff earlier this month.
https://t.co/3mHP9TwQep","[{'text': 'Iran', 'indices': [47, 52]}]",2020-10-16 21:07:14
New York,"Friends don't let friends ride the train without a mask 😷🚉!

When everyone in your party wears a mask, you are helping #stopthespread of COVID-19 while keeping yourself and your fellow riders safe.

Remember, do your task and wear a mask! https://t.co/EFjDKcNwxD","[{'text': 'stopthespread', 'indices': [119, 133]}]",2020-10-16 21:07:14
Chicago burbs,"Lack of accountability means more people will get sick and die of COVID-19. It’s time to start putting people’s safety over corporate profits.

Important op-ed by Rep. @janschakowsky. #NoCorporateImmunity
https://t.co/gEsMVPkzlV",[],2020-10-16 21:07:12
"South Los Angeles, Los Angeles","I'm so stressed out about moving like people are really trying to charge 1200 for a ROOM that I can't even smoke in what the fuck!!! Like 1200? For a room??? The apt I live in is 1050$ a month!!! I'm young, not stupid. And in a pandemic??!! #pandemic #gentrification","[{'text': 'pandemic', 'indices': [241, 250]}, {'text': 'gentrification', 'indices': [251, 266]}]",2020-10-16 21:07:06
"San Francisco, CA","The prevalence of COVID-19 among U.S. dentists is estimated to be approximately 1%, indicating that infection control measures likely are enough to cut exposure risk at #dental practices, according to an @AmerDentalAssn study ... https://t.co/qjkT2YCccQ #dentistry #dentist https://t.co/f2QgaEd4gg",[],2020-10-16 21:07:05
"Albany, New York","DOH Issues DALs Updating Guidance for In-Service Training and Use of Remote Technology for Orientation and Supervision of Aides; Rolls Back Annual Health Assessment Guidance; and more . Read it here:
https://t.co/7zi6YQEatS

#COVID19 #Coronavirus https://t.co/JC88EJcITy","[{'text': 'COVID19', 'indices': [225, 233]}, {'text': 'Coronavirus', 'indices': [234, 246]}]",2020-10-16 21:07:04
