location,text,hashtags,tweetcreatedts
"San Francisco, CA","NEW

Trump said it was a “blessing from God” that he got COVID-19 so he could discover Regeneron’s anti-body cocktail.

That therapeutic was developed using cells derived from aborted fetal tissue, a practice the WH is against.

My latest for @CBSNews:
https://t.co/murpLvf27r",[],2020-10-09 17:22:33
New York,Purported Trump robocall helped ignite violent protest against COVID-19 restrictions in New York: report - https://t.co/5Akn3YY4Kr #COVID,"[{'text': 'COVID', 'indices': [131, 137]}]",2020-10-09 17:22:32
"New York, USA","If the far-right domestic terrorists in Michigan felt restricted and oppressed by the CDC safety protocols for COVID-19, they're REALLY not going to like the protocols in prison.",[],2020-10-09 17:22:26
"Los Angeles, CA","Trump is telling Rush Limbaugh right now that there is a ""cure"" already available for Covid-19. “We have a cure. More than just a therapeutic, we have a cure.”

Yes, he's lying, per usual. But this is dangerous and unhinged lying, coming from someone jacked up on medications.",[],2020-10-09 17:22:26
"Chicago, IL, USA","So now it seems King Cuomo is looking for a “final solution” to the “Jewish problem” of COVID clusters in NYC!!

Here’s a solution, you sick tyrant: STOP BLAMING AND INCITING AGAINST THE JEWISH PEOPLE!!
https://t.co/TmYZQWqrcN",[],2020-10-09 17:22:23
"Miami, FL",".@GovRonDeSantis today in Blountstown touted Regeneron, 1 of the treatments given to President Trump for his coronavirus infection. 

The @nytimes reported the treatment was originally derived from fetal tissue, a practice abhorred by many conservatives.

https://t.co/345rZjdHCj",[],2020-10-09 17:22:17
"Illinois, Chicago area",Neurologist: COVID-19 Masks Are a Crime Against Humanity and Child Abuse. See Health Impact News.,[],2020-10-09 17:22:16
Chicago,Lindsey Graham doesn't want a COVID-19 test before South Carolina Senate debate. Why could that be? https://t.co/6cOIS4SaQT,[],2020-10-09 17:22:13
San Francisco Bay Area,"BREAKING: Trump just claimed to Rush Limbaugh that Regeneron’s anti-body treatment is “a cure” for Covid.

FACT Check: This is a blatant lie! #COVID__19",[],2020-10-09 17:22:13
"New York, NY",The Trump administration has imposed strict limitations on funding of scientific research using fetal tissue. But the Covid-19 medicines lauded by the president were developed in part with  cells derived long ago from fetal tissue.  https://t.co/5BUHLn2Skq,[],2020-10-09 17:22:08
New York,"Hi @LindseyGrahamSC.

Meet @harrisonjaime's family. These precious souls count on him to protect them from harm.

As a dad + husband, Jaime CANNOT rely on your low STATISTICAL risk of #coronavirus infection (and you shouldn't ask him to) when an actual test is easily done. #SCSen https://t.co/Q9HaIJibZI",[],2020-10-09 17:22:03
San Francisco,COVID-19 Is Now the Third Leading Cause of Death in the U.S. - Scientific American https://t.co/sNb18bx87Q,[],2020-10-09 17:22:02
"New York, USA","Trump is telling Rush Limbaugh right now that there is a ""cure"" already available for Covid-19. “We have a cure. More than just a therapeutic, we have a cure.”

Yes, he's lying, per usual. But this is dangerous and unhinged lying, coming from someone jacked up on medications.",[],2020-10-09 17:21:57
"Chicago, IL, USA",The Debate Commission must stop discriminating against recovered COVID-19 patients.,[],2020-10-09 17:21:57
"Los Angeles, CA","Trump is undergoing a TV ""medical examination"" by Fox News' Marc Siegel, who ""has repeatedly pushed the unproven drug hydroxychloroquine as a COVID-19 cure in Fox News interviews, and in March falsely claimed the disease was no worse than the common flu."" https://t.co/nt9buCbj9c",[],2020-10-09 17:21:56
"Miami, Florida","BREAKING: Trump just claimed to Rush Limbaugh that Regeneron’s anti-body treatment is “a cure” for Covid.

FACT Check: This is a blatant lie! #COVID__19",[],2020-10-09 17:21:56
"New York, NY","October is Domestic Violence month however worldwide cases of abuse have risen due to the Covid-19 pandemic. During the worldwide lockdown govts were trying to address a crisis within a crisis.  For help call https://t.co/OGId0l9KHA
#domesticviolenceawareness #kidsgriefjournal https://t.co/Ev4ba5wNZD","[{'text': 'domesticviolenceawareness', 'indices': [233, 259]}, {'text': 'kidsgriefjournal', 'indices': [260, 277]}]",2020-10-09 17:21:55
"San Francisco, CA","President Donald Trump’s Covid-19 diagnosis is drawing headlines around the world, altering the domestic political picture and raising national security concerns https://t.co/4Rwt79SlKP",[],2020-10-09 17:21:53
"Los Angeles, CA","Let’s take a moment and celebrate that we made it to Game 5 of the NBA Finals with ZERO COVID-19 cases. 

The bubble, so far, worked perfectly. Thank you, NBA.",[],2020-10-09 17:21:46
New York City,"So now it seems King Cuomo is looking for a “final solution” to the “Jewish problem” of COVID clusters in NYC!!

Here’s a solution, you sick tyrant: STOP BLAMING AND INCITING AGAINST THE JEWISH PEOPLE!!
https://t.co/TmYZQWqrcN",[],2020-10-09 17:21:46
"Chicago, IL","The full remarks by @DrTedros 👇
https://t.co/Xgp6Zn3FHb",[],2020-10-09 17:21:45
chicago,"The group that meets will begin in a circle on the grass, so bring a blanket for urself to sit on of u can! We will quickly split into breakaway groups, seated in 3-4 circles at a safe distance from each other. 

Please where a mask and be respectful of ppl’s needs re: COVID-19",[],2020-10-09 17:21:37
"West Babylon, New York",Free legal tips are a LIBOR Member benefit. Click the link below to learn best practices to comply with Phase 2 guidelines for showings and open houses. https://t.co/8ciw3BeGMw https://t.co/6eEG97e2hV,[],2020-10-09 17:21:35
"Chicago, IL","Hello, Twitter friends! I'm talking to teachers today who are retiring earlier than anticipated due to COVID-19. For some, it's health concerns, while others say they've had it with remote learning. If you'd like to share your story, email me at: kcullotta@chicagotribune.com Thx!",[],2020-10-09 17:21:32
"Los Angeles, CA","Also if you live in Los Angeles and will love to volunteer, Reach me Via Dm. We are in need of 5 volunteers only . All Covid-19 safety measures will be observed . Also face masks, hand gloves and hand sanitizers will be on site .",[],2020-10-09 17:21:24
