location,text,hashtags,tweetcreatedts
"Los Angeles, CA","WHO SOLIDARITY trial results are out: 11,266 hospitalized Covid-19 patients randomized in 405 hospitals in 30 countries; 1,253 deaths. None of these drugs reduced mortality: remdesivir, hydroxychloroquine, lopinavir, interferon, lopinavir+interferon https://t.co/5fVpI2jVzl",[],2020-10-15 23:17:40
"Miami, FL","Four months ago today I lost my dad to COVID-19 complications.

There are over 200,000 families out there with anniversaries. 

It could have been prevented. https://t.co/YOWlgin74U",[],2020-10-15 23:17:40
"Chicago, IL","Biden pool report: From the campaign: ""'Vice President Biden underwent PCR testing for COVID-19 today and COVID-19 was not detected.'""",[],2020-10-15 23:17:38
"New York, NY","Given that our numbers are going in the wrong direction, we must turn things around now. Wear your mask, maintain six-foot distance, wash your hands and avoid large crowds. For a complete list of recommendations under ‘Red’ on the color-coded chart, go to https://t.co/Y77tAa3xsG.",[],2020-10-15 23:17:28
"Los Angeles, California ",JUST IN: Person who flew with Joe Biden tests positive for COVID-19 https://t.co/PbnjhdkR9j,[],2020-10-15 23:17:26
"Chicago, IL","Four months ago today I lost my dad to COVID-19 complications.

There are over 200,000 families out there with anniversaries. 

It could have been prevented. https://t.co/YOWlgin74U",[],2020-10-15 23:17:23
Seattle/New Yorker,"WHO SOLIDARITY trial results are out: 11,266 hospitalized Covid-19 patients randomized in 405 hospitals in 30 countries; 1,253 deaths. None of these drugs reduced mortality: remdesivir, hydroxychloroquine, lopinavir, interferon, lopinavir+interferon https://t.co/5fVpI2jVzl",[],2020-10-15 23:17:21
"Chicago, IL","Some Chicago Public Schools students will return to classrooms next month, sources familiar with the district's plan say. While most CPS students will continue remote learning, pre-K and some special ed students will have some form of in-person learning. https://t.co/FuQ2EnLwiS",[],2020-10-15 23:17:16
"New York, NY","Can some political communications people help me out?

When was the first time a sitting legislator tweeted, Facebook posted, or wrote an Op-Ed/press release about coronavirus/COVID-19?

First e-newsletter was January 24.

@libbyh @kreissdaniel @p_barbera @SMaPP_NYU @JeffGulati",[],2020-10-15 23:17:16
New York State,"Chris Christie says he was in ICU for 7 days battling Covid-19, urges Americans to wear masks

""No one should be cavalier about being infected or infecting others,"" Christie said in a statement. https://t.co/7bFDnkKEFG",[],2020-10-15 23:17:13
"New York, NY","WHO SOLIDARITY trial results are out: 11,266 hospitalized Covid-19 patients randomized in 405 hospitals in 30 countries; 1,253 deaths. None of these drugs reduced mortality: remdesivir, hydroxychloroquine, lopinavir, interferon, lopinavir+interferon https://t.co/5fVpI2jVzl",[],2020-10-15 23:17:09
"New York, NY",JUST IN: Person who flew with Joe Biden tests positive for COVID-19 https://t.co/PbnjhdkR9j,[],2020-10-15 23:17:07
"San Francisco, CA","When the COVID-19 pandemic shifted the #government #workforce to cloud-based #telework, leaders needed to address security concerns and access risks to data. @GoogleCloud's Dan Prieto delves into the expanded perimeter and the limitations of VPNs. https://t.co/PWDuqxAkvj https://t.co/jKO4IvWTlC","[{'text': 'government', 'indices': [53, 64]}, {'text': 'workforce', 'indices': [65, 75]}, {'text': 'telework', 'indices': [91, 100]}]",2020-10-15 23:17:06
"New York, NY","BREAKING NEWS: GOP Senator Ben Sasse of Nebraska has bombed TRUMP on Covid-19, on “kissing the butts of dictators,” selling out allies, mistreating women, having “stupid political obsessions.” GOES BIBLICAL ON TRUMP’S ASS. Full YouTube show: https://t.co/vBhgE0uixu Short Version: https://t.co/XTofc1A9VE",[],2020-10-15 23:17:04
"Chicago, IL","BREAKING NEWS: GOP Senator Ben Sasse of Nebraska has bombed TRUMP on Covid-19, on “kissing the butts of dictators,” selling out allies, mistreating women, having “stupid political obsessions.” GOES BIBLICAL ON TRUMP’S ASS. Full YouTube show: https://t.co/vBhgE0uixu Short Version: https://t.co/XTofc1A9VE",[],2020-10-15 23:17:03
San Francisco,"BREAKING NEWS: GOP Senator Ben Sasse of Nebraska has bombed TRUMP on Covid-19, on “kissing the butts of dictators,” selling out allies, mistreating women, having “stupid political obsessions.” GOES BIBLICAL ON TRUMP’S ASS. Full YouTube show: https://t.co/vBhgE0uixu Short Version: https://t.co/XTofc1A9VE",[],2020-10-15 23:16:56
New York State,Is it any wonder we have collective cognitive dissonance? Trump To Hold Wisconsin Rally 3 Days After State Opens COVID-19 Field Hospital https://t.co/3JHHozKajb,[],2020-10-15 23:16:46
Chicago,"Illinois public health officials reported 4,015 new confirmed cases of COVID-19 today — the highest single-day tally since the pandemic began. https://t.co/Co5BWqFlgE",[],2020-10-15 23:16:41
"New York, New York","But I thought schools didn't drive spread?

https://t.co/pDJ7SWlzsG",[],2020-10-15 23:16:40
New York City,"BREAKING NEWS: GOP Senator Ben Sasse of Nebraska has bombed TRUMP on Covid-19, on “kissing the butts of dictators,” selling out allies, mistreating women, having “stupid political obsessions.” GOES BIBLICAL ON TRUMP’S ASS. Full YouTube show: https://t.co/vBhgE0uixu Short Version: https://t.co/XTofc1A9VE",[],2020-10-15 23:16:38
Chicago,"Promoting the concept of “herd immunity” as an answer to COVID-19 is inappropriate, irresponsible &amp; ill-informed. 

We strongly denounce the “declaration"" that states this crisis can be controlled in the absence of critical public health measures. https://t.co/JfV2DRVgDW https://t.co/u7oFW2Wt9C",[],2020-10-15 23:16:36
"New York, NY","North Carolinians rushed to polling places on the first day of early voting, braving fears not just of the resurgent COVID-19 pandemic, but also a climate of potential disenfranchisement and intimidation to get a head start on a hotly-contested election https://t.co/z2HoBKM2ir",[],2020-10-15 23:16:27
"New York, NY Palm Beach, FL","Sources say Murdoch is disgusted by Trump’s handling of COVID-19, remarking that the president is his own worst enemy, that he isn’t listening to advice about how to handle the pandemic, and that he’s creating a never-ending crisis for his administration
https://t.co/qHF4OOUIj6",[],2020-10-15 23:16:22
"New York, NY","""Women cannot just continue to suffer on behalf of the rest of the world.""

-- @UN_Women's Funmi Balogun explains why gender equality matters in the #COVID19 response. https://t.co/rprmQ4f8JB https://t.co/DCltmM5pQC","[{'text': 'COVID19', 'indices': [149, 157]}]",2020-10-15 23:16:13
"New York, NY","American tennis player and his wife left Russia on a private plane four days after being in isolation for having the virus. Officials call it a ""serious breach of protocol."" https://t.co/rCt7OnGIyH",[],2020-10-15 23:16:08
New York,"Biden pool report: From the campaign: ""'Vice President Biden underwent PCR testing for COVID-19 today and COVID-19 was not detected.'""",[],2020-10-15 23:16:02
Cuernavaca City New York,"Biden pool report: From the campaign: ""'Vice President Biden underwent PCR testing for COVID-19 today and COVID-19 was not detected.'""",[],2020-10-15 23:15:56
"New York, NY","Biden pool report: From the campaign: ""'Vice President Biden underwent PCR testing for COVID-19 today and COVID-19 was not detected.'""",[],2020-10-15 23:15:55
"Los Angeles, CA","COVID-19 Daily Update:
October 15, 2020
New Cases: 1,233 (286,183 to date)
New Deaths: 24 (6,834 to date)
Current Hospitalizations: 723 https://t.co/CHAJY0lLFm",[],2020-10-15 23:15:54
"Chicago, IL","Who asked Twitter for live COVID-19 updates in Nigeria?
Jack head don dey touch abi?
Give us live updates of football matches biko🙄",[],2020-10-15 23:15:47
"Chicago, Illinois USA","Illinois is reporting 4,015 new cases of COVID-19 today, our highest one-day total on record. While our positivity rate is lower than any of our neighbors, it's consistently growing &amp; that's cause for concern.
 
This pandemic is far from over. Please, wear a mask. #allinillinois https://t.co/J8H92maCe7",[],2020-10-15 23:15:41
Chicago  Illinois,"Biden pool report: From the campaign: ""'Vice President Biden underwent PCR testing for COVID-19 today and COVID-19 was not detected.'""",[],2020-10-15 23:15:31
"Los Angeles, CA","Biden pool report: From the campaign: ""'Vice President Biden underwent PCR testing for COVID-19 today and COVID-19 was not detected.'""",[],2020-10-15 23:15:24
"New York, NY","On Sept. 4, demonstrators at the University of Miami lay on the ground as if dead, protesting unsafe working conditions amid the COVID-19 pandemic. But they soon experienced a second scare: the university had managed to identify them despite wearing masks.
https://t.co/4IOIIbdIb6",[],2020-10-15 23:15:22
"Southside, Chicago,IL","This is blockbuster from @WHO: 'Remdesivir, Hydroxychloroquine, Lopinavir and Interferon regimens have little or no effect on hospitalized COVID-19, as indicated by mortality, initiation of ventilation and duration of hospital stay. @medrxivpreprint https://t.co/aNGLzLL5uW https://t.co/daOAMVW62u",[],2020-10-15 23:15:19
Miami Beach,Workout! At your own risk... https://t.co/Kap8HQjCuD,[],2020-10-15 23:15:11
New York City,"Sources say Murdoch is disgusted by Trump’s handling of COVID-19, remarking that the president is his own worst enemy, that he isn’t listening to advice about how to handle the pandemic, and that he’s creating a never-ending crisis for his administration
https://t.co/qHF4OOUIj6",[],2020-10-15 23:15:07
"Chicago, IL",Chicago restricts travel to and from Indiana due to COVID-19 | Government and Politics | https://t.co/2tLWSxgC2b https://t.co/FDkJBa2aEz,[],2020-10-15 23:15:06
"New York, NY",Is it any wonder we have collective cognitive dissonance? Trump To Hold Wisconsin Rally 3 Days After State Opens COVID-19 Field Hospital https://t.co/3JHHozKajb,[],2020-10-15 23:15:02
