location,text,hashtags,tweetcreatedts
Los Angeles,"Trump has been the biggest source of Covid-19 misinformation, study finds  https://t.co/IRk2W1qA6F",[],2020-10-05 17:56:58
"Miami, FL","I just got off the phone with Coach Bowden. Told me he’s “feeling okay” 

He tested positive for Covid-19 while at the hospital last week. He doesn’t know how he contracted it. Told me he’s getting tested again today. @WCTV",[],2020-10-05 17:56:55
"Orange County, New York",No reports of @realDonaldTrump receiving either hydroxychloroquine or chloroquine since being diagnosed with COVID-19. https://t.co/3lnNGaiRoc,[],2020-10-05 17:56:52
"San Francisco, CA","President Trump's treatment regimen for COVID-19 suggests he's either being overtreated or is sicker than is being let on.

Based on interviews with 20 physicians over the past 4 days: https://t.co/meUxgxC5Ul",[],2020-10-05 17:56:51
"CHIcago, IL","My Wife doesn't believe Kayleigh McEnany, or ANY of the trump staff, have COVID-19. She thinks they are just saying it to make it look like trump really MUST have it, when he really doesn't.

I'm inclined to agree, ESPECIALLY if he leaves Walter Reed today.",[],2020-10-05 17:56:51
"Chicago, IL","If senior government officials do not announce their diagnoses of COVID-19 immediately, they put other senior officials at risk. That's why I’m calling on Congress to establish clear standards for the public disclosure of senior officials becoming infected with COVID-19. https://t.co/VBH58bdP9n",[],2020-10-05 17:56:50
San Francisco,"You remember that time a Navy Captain lost his job because he was worried about his crew and the spread of COVID-19

Captain Brett Crozier 

Yep, that was April",[],2020-10-05 17:56:48
"New York, NY","A big spat between the mayor and governor just ahead of Cuomo's book ""Leadership Lessons from the Covid-19 Pandemic"" that comes out next week. https://t.co/IcBMpHMDiU",[],2020-10-05 17:56:48
"New York, NY","BREAKING: @CDCgov adds back to its Covid-19 guidelines acknowledgment that tiny air particles can transmit the coronavirus, weeks after deleting references to their role. Story coming to @WSJ.",[],2020-10-05 17:56:46
"Chicago, IL","President Trump fails to control COVID-19 in the country and in his White House, gets sick himself, then his campaign attacks Joe Biden for not having had COVID-19.  https://t.co/lsQhS7IMos",[],2020-10-05 17:56:45
San Francisco & Los Angeles,"NEWS: @NYMag has confirmed that Pastor Greg Laurie of Harvest Christian Fellowship in Riverside, California has tested POSITIVE for COVID-19. Pastor Laurie was at the Prayer March on the Mall with Mike Pence and Franklin Graham and the ACB Rose Garden event later that day.",[],2020-10-05 17:56:45
"New York, NY",Right-wing pseudo-historian David Barton says the Bill of Rights has been widely violated by government overreach during the COVID-19 pandemic  ... including violations of the Third Amendment. https://t.co/bLwdbRJa5f,[],2020-10-05 17:56:45
MIAMI ,"🙏 to Coach Bowden!  Here's to a speedy recovery for one of the best to ever do it.

Former FSU Football Coach Bobby Bowden Tests Positive for COVID-19 https://t.co/39DpzufT5Z",[],2020-10-05 17:56:42
"San Francisco, CA",@benstracy In other news people who wear masks also test + for covid-19,[],2020-10-05 17:56:40
"New York, USA","Arkansas school superintendent dies from COVID-19: @AP.
https://t.co/yf3jPtSLxp https://t.co/nXdgdwFH6R",[],2020-10-05 17:56:39
"New York, USA",BREAKING: Reports that Attorney General Bill Bar tested positive for COVID-19 have been debunked as fake.,[],2020-10-05 17:56:34
"Los Angeles, CA","There are now more recorded cases of COVID-19 in the White House than in New Zealand, Taiwan, and Vietnam combined, and they have 124 million people.

Let that sink in.",[],2020-10-05 17:56:33
"Los Angeles, CA","NEWS: @NYMag has confirmed that Pastor Greg Laurie of Harvest Christian Fellowship in Riverside, California has tested POSITIVE for COVID-19. Pastor Laurie was at the Prayer March on the Mall with Mike Pence and Franklin Graham and the ACB Rose Garden event later that day.",[],2020-10-05 17:56:32
New York,"BREAKING: @CDCgov adds back to its Covid-19 guidelines acknowledgment that tiny air particles can transmit the coronavirus, weeks after deleting references to their role. Story coming to @WSJ.",[],2020-10-05 17:56:32
"los angeles, california",Guatemala said the U.S.-bound caravan was a COVID-19 contagion risk. https://t.co/804quhlvKl,[],2020-10-05 17:56:31
"Chicago, IL","BREAKING: Attorney General Bill Barr tests POSITIVE for COVID-19. WOW!

I feel like COVID-19 is bringing the Patriots TOGETHER!",[],2020-10-05 17:56:31
"Chicago, IL ","There are now more recorded cases of COVID-19 in the White House than in New Zealand, Taiwan, and Vietnam combined, and they have 124 million people.

Let that sink in.",[],2020-10-05 17:56:29
"Los Angeles, CA","NEWS: @NYMag has confirmed that Pastor Greg Laurie of Harvest Christian Fellowship in Riverside, California has tested POSITIVE for COVID-19. Pastor Laurie was at the Prayer March on the Mall with Mike Pence and Franklin Graham and the ACB Rose Garden event later that day.",[],2020-10-05 17:56:27
"Miami, FL","NEWS: @NYMag has confirmed that Pastor Greg Laurie of Harvest Christian Fellowship in Riverside, California has tested POSITIVE for COVID-19. Pastor Laurie was at the Prayer March on the Mall with Mike Pence and Franklin Graham and the ACB Rose Garden event later that day.",[],2020-10-05 17:56:26
"San Francisco, CA","I tired of others writing NYC's narrative. I've lived here my whole life, through 9/11, Sandy, COVID-19 and I'm not leaving. I'm proud of the @bklynbridgevc founders, looking for more and place still matters to me. 

I am #AllInNYC. This is my #NYC story: 
https://t.co/AsYOF0zNLL",[],2020-10-05 17:56:25
New York,"There are now more recorded cases of COVID-19 in the White House than in New Zealand, Taiwan, and Vietnam combined, and they have 124 million people.

Let that sink in.",[],2020-10-05 17:56:24
New York City,"Just braced myself to read this. Most disheartening quote:  ""that’s not meant [to be] gloom and doom....The new normal will be fine, and we’ll get through it just fine. But I don’t think we’ll go back to January in my lifetime.” https://t.co/LAUMJ80qhQ",[],2020-10-05 17:56:22
Chicago Illinois ,"@erogers8877 Wait a minute! Is Viagra threatened too? Not that I care, but I am getting older. One thing COVID-19 has shown me is that things can change rather quickly.",[],2020-10-05 17:56:22
"Chicago, IL","We have asked WH officials countless times why they don’t wear masks, and they always tell us it’s because they tested negative that day. 

But that doesn’t mean you don’t have COVID-19, and that doesn’t mean you aren’t contagious. 

Case/Point. https://t.co/diEoUaoCzn",[],2020-10-05 17:56:22
"Los Angeles, CA",".#Trump is a monster. A serial-killer. He not only needs to lose the election in a humiliating landslide, but he needs to be prosecuted and imprisoned. I truly wish he lives to see all of it... #Covid19 #coronavirus https://t.co/uHOJG6ZZxV","[{'text': 'Trump', 'indices': [17, 23]}]",2020-10-05 17:56:22
"New York, NY","@timjhogan Only a *malignant narcissist* would need to *get Covid-19* in order to actually care about a virus that has killed 210,000 Americans.",[],2020-10-05 17:56:21
New York,"The @GOP should rebrand itself as the Branch Covidians.😅

#GOPSuperSpreaders #TrumpVirus #TrumpCovid #coronavirus https://t.co/k5LIcUOpXj","[{'text': 'GOPSuperSpreaders', 'indices': [77, 95]}, {'text': 'TrumpVirus', 'indices': [96, 107]}, {'text': 'TrumpCovid', 'indices': [108, 119]}, {'text': 'coronavirus', 'indices': [120, 132]}]",2020-10-05 17:56:20
"New York, NY",Two White House communication aides have tested positive for COVID-19 https://t.co/lxPHOoZtL6,[],2020-10-05 17:56:19
"Chicago, IL",Kayleigh McEnany has just announced she has Covid-19 which is also the first truthful thing she has said in 2020.,[],2020-10-05 17:56:18
"Chicago, IL",I like presidents who don’t get Covid-19.,[],2020-10-05 17:56:16
"Los Angeles, CA","The White House is a bigger covid-19 hotspot than all of New Zealand.
 
How could this possibly be? 

Perhaps—I’m spitballing here—it is related to the GOP rejection of science, embrace of conspiracy theories, and transformation into a cult of personality? https://t.co/T2wU4aMwcQ",[],2020-10-05 17:56:15
"Chicago, IL","In 10 days, Trump and his staff will be ""immune"" to the Covid 19 virus. Think about those implications. Patriots in Control!   #5DChess",[],2020-10-05 17:56:12
"New York, USA","40% of Democrats are happy President @realDonaldTrump contracted COVID-19.

Absolutely disgusting.

In November, I will be voting for the party that doesn't wish death on others!",[],2020-10-05 17:56:08
"Chicago, IL","Whereas Nero famously fiddled while Rome burned, US President Donald Trump has famously hit the links at his money-losing golf courses while California burns – and as more than 200,000 Americans died of COVID-19.    https://t.co/xHM6f18FCB",[],2020-10-05 17:56:07
"Miami, FL",Bobby Bowden has tested positive for COVID-19 and said he has not exhibited symptoms of the virus https://t.co/ReFJ0YzrO2,[],2020-10-05 17:56:06
"Chicago, IL","We have asked WH officials countless times why they don’t wear masks, and they always tell us it’s because they tested negative that day. 

But that doesn’t mean you don’t have COVID-19, and that doesn’t mean you aren’t contagious. 

Case/Point. https://t.co/diEoUaoCzn",[],2020-10-05 17:56:05
"Los Angeles, CA",John King breaks down latest Covid-19 US trends https://t.co/ogwwXub9Cm via @YouTube,[],2020-10-05 17:56:04
New York,"Trump campaign says Biden lacks ""firsthand experience"" of being infected with COVID-19 https://t.co/IVL0CvGdpt",[],2020-10-05 17:56:04
Chicago ,"Republican Sen. Ron Johnson heard that Sen. Lee had the coronavirus on Friday. He got a COVID test. Before knowing the results, he went to speak to an Ozaukee County Republican Party dinner. He got the call that he was positive on the drive back.
https://t.co/yyQGhUUQvB",[],2020-10-05 17:56:03
"New York, USA",Do the nit wits in the White House realize they are spreading the virus due to exposure?#Quarantine,"[{'text': 'Quarantine', 'indices': [88, 99]}]",2020-10-05 17:56:03
"New York, NY",$COCP COVID-19 MKT PARTNER CAN BE ANNOUNCED AT ANY TIME PRIOR TO LEAD MOLECULE OR RIGHT AFTER IS ANYONES GUESS DURING BID WAR 🔥,[],2020-10-05 17:56:03
"Chicago, IL","Mask up, Pumpkin! Wearing masks can be frustrating, but you can still have loads of fun! #maskupmonday #decastrong #masks #staysafe #socialdistancing #pumpkinpatch” https://t.co/5jmnRWWI2m","[{'text': 'maskupmonday', 'indices': [103, 116]}, {'text': 'decastrong', 'indices': [117, 128]}, {'text': 'masks', 'indices': [129, 135]}]",2020-10-05 17:56:02
"New York, USA","@opensea @juicynfts @DCLBlogger 
The price is 1500nftai
So  cool #XboxSeriesX #cryptocurrency #Covid_19 https://t.co/rJLnSud2XK","[{'text': 'XboxSeriesX', 'indices': [65, 77]}, {'text': 'cryptocurrency', 'indices': [78, 93]}, {'text': 'Covid_19', 'indices': [94, 103]}]",2020-10-05 17:56:01
San Francisco,Friday's Most Read #1 - Covid-19 Is Not The ‘Death Of The City’ - It’s The Rise Of The Neighborhood Center @tchu88 @Forbes https://t.co/guc1kyixHY,[],2020-10-05 17:56:00
New York,"BREAKING: @CDCgov adds back to its Covid-19 guidelines acknowledgment that tiny air particles can transmit the coronavirus, weeks after deleting references to their role. Story coming to @WSJ.",[],2020-10-05 17:55:56
"San Francisco, CA","Who ELSE agrees it's time for the media to forget about trump's covid media stunts and get back to his tax returns, abysmal Proud Boys debate, and failures on COVID-19? 🤚",[],2020-10-05 17:55:55
"Chicago, IL","We have asked WH officials countless times why they don’t wear masks, and they always tell us it’s because they tested negative that day. 

But that doesn’t mean you don’t have COVID-19, and that doesn’t mean you aren’t contagious. 

Case/Point. https://t.co/diEoUaoCzn",[],2020-10-05 17:55:55
"Washington, DC & New York City","Kenzo Takada, Who Brought Japanese Fashion to the World, Dies at 81 of Covid-19 https://t.co/AwF7SUtGmZ",[],2020-10-05 17:55:54
"New York, USA",U.S. evictions surge amid #pandemic despite #federal ban https://t.co/d9NfV5Wo32,"[{'text': 'pandemic', 'indices': [26, 35]}, {'text': 'federal', 'indices': [44, 52]}]",2020-10-05 17:55:52
"Miami, Fl","What the hell does Biden or abortion have to do with Trump putting secret service at risk during his most contagious time of COVID-19 for a photo op?

I’m guessing you’re stupid. https://t.co/3G3SVBEc8b",[],2020-10-05 17:55:50
"Los Angeles, CA","🚨🚨🚨 ""Over the past three months before testing positive for COVID-19, the president had indicated to several senior officials and close associates that he intends to replace Wray near the start of a second term in office"" https://t.co/XBtKTKBn3F",[],2020-10-05 17:55:48
"Chicago, IL","#BREAKING @PressSec Kayleigh McEnany tests positive for COVID-19

Praying for you, Kayleigh.

https://t.co/BD3m7e2oAd","[{'text': 'BREAKING', 'indices': [18, 27]}]",2020-10-05 17:55:45
"New York, NY",CDC - RECOGNISES SOME PUBLISHED REPORTS SHOWING LIMITED CIRCUMSTANCES WHERE PEOPLE WITH COVID-19 INFECTED OTHERS WHO WERE MORE THAN 6 FEET AWAY,[],2020-10-05 17:55:43
"New York, NY","NEWS: @NYMag has confirmed that Pastor Greg Laurie of Harvest Christian Fellowship in Riverside, California has tested POSITIVE for COVID-19. Pastor Laurie was at the Prayer March on the Mall with Mike Pence and Franklin Graham and the ACB Rose Garden event later that day.",[],2020-10-05 17:55:42
Los Angeles,"My Wife doesn't believe Kayleigh McEnany, or ANY of the trump staff, have COVID-19. She thinks they are just saying it to make it look like trump really MUST have it, when he really doesn't.

I'm inclined to agree, ESPECIALLY if he leaves Walter Reed today.",[],2020-10-05 17:55:41
"San Francisco, CA","The COVID-19 pandemic has made visible what we have known all along — that caregiving is what makes our society and economy function, yet it is persistently devalued. We need the Senate to pass the #HeroesAct NOW. https://t.co/YyoFKqUNEB",[],2020-10-05 17:55:40
"New York, USA","!!

BREAKING: Pastor Greg Laurie of Harvest Christian Fellowship in Riverside, California has tested POSITIVE for COVID-19. Pastor Laurie was at the Prayer March on the Mall with Mike Pence and Franklin Graham and the ACB Rose Garden event later that day. 

Superspreader event!",[],2020-10-05 17:55:39
"New York, USA",Senate GOP's 3rd COVID-19 case complicates relief bill: https://t.co/vRDTcI4BFR   #DonaldTrump,"[{'text': 'DonaldTrump', 'indices': [82, 94]}]",2020-10-05 17:55:38
